Date;Ticket
2018-01-01;4903
2018-01-02;9017
2018-01-03;9193
2018-01-04;8134
2018-01-05;7703
2018-01-06;6025
2018-01-07;4389
2018-01-08;7489
2018-01-09;6161
2018-01-10;5324
2018-01-11;6287
2018-01-12;5699
2018-01-13;4639
2018-01-14;3670
2018-01-15;5812
2018-01-16;5633
2018-01-17;5031
2018-01-18;4982
2018-01-19;5240
2018-01-20;3939
2018-01-21;3297
2018-01-22;4500
2018-01-23;4065
2018-01-24;3980
2018-01-25;4265
2018-01-26;3967
2018-01-27;3269
2018-01-28;2861
2018-01-29;4588
2018-01-30;4631
2018-01-31;4422
2018-02-01;5725
2018-02-02;4978
2018-02-03;3970
2018-02-04;3160
2018-02-05;5308
2018-02-06;5806
2018-02-07;5293
2018-02-08;5478
2018-02-09;5535
2018-02-10;4648
2018-02-11;3713
2018-02-12;5465
2018-02-13;5779
2018-02-14;5695
2018-02-15;5801
2018-02-16;4433
2018-02-17;4089
2018-02-18;3337
2018-02-19;5547
2018-02-20;5997
2018-02-21;5487
2018-02-22;5448
2018-02-23;5866
2018-02-24;4966
2018-02-25;3528
2018-02-26;5282
2018-02-27;5329
2018-02-28;5478
2018-03-01;6201
2018-03-02;6100
2018-03-03;4496
2018-03-04;3579
2018-03-05;5237
2018-03-06;5738
2018-03-07;5373
2018-03-08;5761
2018-03-09;5889
2018-03-10;5010
2018-03-11;4124
2018-03-12;6593
2018-03-13;5800
2018-03-14;5760
2018-03-15;5881
2018-03-16;5796
2018-03-17;4465
2018-03-18;4177
2018-03-19;6362
2018-03-20;6295
2018-03-21;5744
2018-03-22;5793
2018-03-23;5812
2018-03-24;4961
2018-03-25;4019
2018-03-26;5766
2018-03-27;6512
2018-03-28;6899
2018-03-29;7236
2018-03-30;5805
2018-03-31;5704
2018-04-01;4590
2018-04-02;7029
2018-04-03;7339
2018-04-04;7585
2018-04-05;8439
2018-04-06;7796
2018-04-07;6205
2018-04-08;4713
2018-04-09;7232
2018-04-10;7332
2018-04-11;6334
2018-04-12;6890
2018-04-13;7494
2018-04-14;5468
2018-04-15;4534
2018-04-16;6977
2018-04-17;7708
2018-04-18;7122
2018-04-19;7252
2018-04-20;7790
2018-04-21;6102
2018-04-22;4944
2018-04-23;7255
2018-04-24;6772
2018-04-25;6826
2018-04-26;7043
2018-04-27;7009
2018-04-28;5810
2018-04-29;4820
2018-04-30;7254
2018-05-01;7096
2018-05-02;10005
2018-05-03;8801
2018-05-04;8078
2018-05-05;4209
2018-05-06;7761
2018-05-07;7127
2018-05-08;7139
2018-05-09;8242
2018-05-10;5988
2018-05-11;7433
2018-05-12;6754
2018-05-13;4894
2018-05-14;7582
2018-05-15;8331
2018-05-16;7887
2018-05-17;8025
2018-05-18;8440
2018-05-19;8041
2018-05-20;6785
2018-05-21;10552
2018-05-22;9365
2018-05-23;9142
2018-05-24;8580
2018-05-25;18014
2018-05-26;15969
2018-05-27;11174
2018-05-28;15660
2018-05-29;12129
2018-05-30;13776
2018-05-31;12163
2018-06-01;9841
2018-06-02;9092
2018-06-03;5832
2018-06-04;12014
2018-06-05;11804
2018-06-06;12190
2018-06-07;13572
2018-06-08;12808
2018-06-09;11301
2018-06-10;8279
2018-06-11;10545
2018-06-12;9673
2018-06-13;7304
2018-06-14;5432
2018-06-15;2939
2018-06-16;3311
2018-06-17;3160
2018-06-18;5477
2018-06-19;5479
2018-06-20;7075
2018-06-21;8297
2018-06-22;8317
2018-06-23;7717
2018-06-24;6303
2018-06-25;9471
2018-06-26;9199
2018-06-27;7466
2018-06-28;8588
2018-06-29;8459
2018-06-30;7317
2018-07-01;5771
2018-07-02;8369
2018-07-03;8634
2018-07-04;8627
2018-07-05;9134
2018-07-06;8805
2018-07-07;7739
2018-07-08;5825
2018-07-09;8700
2018-07-10;8540
2018-07-11;8800
2018-07-12;8268
2018-07-13;8391
2018-07-14;7363
2018-07-15;5822
2018-07-16;8415
2018-07-17;8757
2018-07-18;8569
2018-07-19;8897
2018-07-20;8916
2018-07-21;7217
2018-07-22;5610
2018-07-23;8132
2018-07-24;8360
2018-07-25;9292
2018-07-26;9547
2018-07-27;8783
2018-07-28;7655
2018-07-29;5903
2018-07-30;8756
2018-07-31;8761
2018-08-01;9139
2018-08-02;9314
2018-08-03;9435
2018-08-04;8087
2018-08-05;6358
2018-08-06;9465
2018-08-07;11350
2018-08-08;9915
2018-08-09;10112
2018-08-10;10048
2018-08-11;8528
2018-08-12;6555
2018-08-13;8886
2018-08-14;9557
2018-08-15;11410
2018-08-16;12500
2018-08-17;9048
2018-08-18;8221
2018-08-19;6280
2018-08-20;10113
2018-08-21;10315
2018-08-22;5516
2018-08-23;8988
2018-08-24;10510
2018-08-25;8685
2018-08-26;6162
2018-08-27;9041
2018-08-28;9655
2018-08-29;9447
2018-08-30;9289
2018-08-31;9103
2018-09-01;7698
2018-09-02;5621
2018-09-03;8820
2018-09-04;9503
2018-09-05;11476
2018-09-06;11187
2018-09-07;12536
2018-09-08;9239
2018-09-09;6450
2018-09-10;10105
2018-09-11;7827
2018-09-12;9224
2018-09-13;9772
2018-09-14;9863
2018-09-15;8281
2018-09-16;6054
2018-09-17;9621
2018-09-18;9174
2018-09-19;8925
2018-09-20;9999
2018-09-21;10032
2018-09-22;8098
2018-09-23;5987
2018-09-24;8725
2018-09-25;11472
2018-09-26;11898
2018-09-27;10417
2018-09-28;11081
2018-09-29;8955
2018-09-30;6741
2018-10-01;9596
2018-10-02;10282
2018-10-03;9565
2018-10-04;10138
2018-10-05;11681
2018-10-06;8580
2018-10-07;6181
2018-10-08;11041
2018-10-09;10326
2018-10-10;9965
2018-10-11;9925
2018-10-12;10360
2018-10-13;7812
2018-10-14;5568
2018-10-15;10771
2018-10-16;11802
2018-10-17;10296
2018-10-18;9848
2018-10-19;9707
2018-10-20;7817
2018-10-21;5510
2018-10-22;8733
2018-10-23;9010
2018-10-24;8697
2018-10-25;11599
2018-10-26;9960
2018-10-27;6948
2018-10-28;5063
2018-10-29;8094
2018-10-30;8647
2018-10-31;8545
2018-11-01;7957
2018-11-02;9084
2018-11-03;7883
2018-11-04;6064
2018-11-05;12833
2018-11-06;14836
2018-11-07;12045
2018-11-08;11665
2018-11-09;12092
2018-11-10;11313
2018-11-11;8315
2018-11-12;13003
2018-11-13;11426
2018-11-14;11417
2018-11-15;10815
2018-11-16;11121
2018-11-17;9426
2018-11-18;6696
2018-11-19;10991
2018-11-20;9487
2018-11-21;11606
2018-11-22;11791
2018-11-23;9944
2018-11-24;8934
2018-11-25;7476
2018-11-26;9652
2018-11-27;10031
2018-11-28;9612
2018-11-29;9089
2018-11-30;8881
2018-12-01;8020
2018-12-02;6029
2018-12-03;9475
2018-12-04;10023
2018-12-05;10337
2018-12-06;9841
2018-12-07;13971
2018-12-08;11168
2018-12-09;7064
2018-12-10;11228
2018-12-11;11620
2018-12-12;11349
2018-12-13;14635
2018-12-14;11450
2018-12-15;9413
2018-12-16;7095
2018-12-17;12114
2018-12-18;11087
2018-12-19;9992
2018-12-20;14814
2018-12-21;13096
2018-12-22;8736
2018-12-23;5503
2018-12-24;7007
2018-12-25;5453
2018-12-26;8290
2018-12-27;7926
2018-12-28;8232
2018-12-29;6838
2018-12-30;5706
2018-12-31;7470
2019-01-01;5493
2019-01-02;10366
2019-01-03;11493
2019-01-04;9799
2019-01-05;7699
2019-01-06;5985
2019-01-07;9132
2019-01-08;9675
2019-01-09;8320
2019-01-10;8485
2019-01-11;8563
2019-01-12;7500
2019-01-13;5093
2019-01-14;8675
2019-01-15;9934
2019-01-16;8086
2019-01-17;7841
2019-01-18;7393
2019-01-19;6204
2019-01-20;4660
2019-01-21;7733
2019-01-22;8210
2019-01-23;8297
2019-01-24;7596
2019-01-25;9487
2019-01-26;7604
2019-01-27;5513
2019-01-28;8741
2019-01-29;10048
2019-01-30;7716
2019-01-31;7377
2019-02-01;8788
2019-02-02;8552
2019-02-03;6843
2019-02-04;12071
2019-02-05;7196
2019-02-06;8810
2019-02-07;9078
2019-02-08;8455
2019-02-09;7175
2019-02-10;5374
2019-02-11;8865
2019-02-12;10086
2019-02-13;9169
2019-02-14;8609
2019-02-15;8511
2019-02-16;7676
2019-02-17;5536
2019-02-18;11371
2019-02-19;10037
2019-02-20;8645
2019-02-21;8005
2019-02-22;7613
2019-02-23;6691
2019-02-24;4629
2019-02-25;7239
2019-02-26;7449
2019-02-27;7314
2019-02-28;8568
2019-03-01;9855
2019-03-02;6788
2019-03-03;4709
2019-03-04;7551
2019-03-05;7652
2019-03-06;7976
2019-03-07;6216
2019-03-08;8379
2019-03-09;6736
2019-03-10;5191
2019-03-11;7908
