holiday;ds
New Year's Day;2018-01-01
Chinese New Year;2018-02-16
Hari Raya Nyepi;2018-03-17
Good Friday;2018-03-30
Ascension of the Prophet;2018-04-13
Labor Day;2018-05-01
Ascension Day of Jesus Christ;2018-05-10
Waisak Day;2018-05-29
Pancasila Day;2018-06-01
1st Day of Eid-ul-Fitar;2018-06-14
2nd Day of Eid-ul-Fitar;2018-06-15
Eid Holiday;2018-06-16
Eid Holiday;2018-06-17
Independence Day;2018-08-17
Eid-al-Adha;2018-08-21
Muharram / Islamic New Year;2018-09-11
Prophet Muhammad's Birthday;2018-11-20
Christmas Day;2018-12-25
New Year's Day;2019-01-01
Chinese New Year;2019-02-05
Hari Raya Nyepi;2019-03-07
Ascension of the Prophet;2019-04-03
Good Friday;2019-04-19
Labor Day;2019-05-01
Waisak Day;2019-05-19
Ascension Day of Jesus Christ;2019-05-30
Pancasila Day;2019-06-01
1st Day of Eid-ul-Fitar;2019-06-05
2nd Day of Eid-ul-Fitar;2019-06-06
Eid Holiday;2019-06-07
Eid Holiday;2019-06-08
Eid-al-Adha;2019-08-12
Independence Day;2019-08-17
Muharram / Islamic New Year;2019-09-01
Prophet Muhammad's Birthday;2019-11-10
Christmas Day;2019-12-25
